Lambda,nir610_power,nir680_power,nir730_power,nir760_power,nir810_power,nir860_power
529,0.0004905918881,0.0003195923549,0.000430363755,0.0003505983945,0.0003532451447,0.0002983160264
530,0.0004923930467,0.0003399444061,0.0004533167811,0.0003689378412,0.0003543499485,0.000299201884
531,0.0004704869133,0.0003514220899,0.0004430324533,0.0003876827899,0.0003814409601,0.0003347002694
532,0.0004485807798,0.0003628997738,0.0004327481255,0.0004064277387,0.0004085319718,0.0003701986549
533,0.0004143136507,0.0003334006586,0.000423897358,0.0003891190981,0.0004097896882,0.0003813179049
534,0.0003800465217,0.0003039015434,0.0004150465905,0.0003718104576,0.0004110474046,0.0003924371548
535,0.0003460701319,0.0002940148273,0.0004046418575,0.000354558489,0.0004118671266,0.0003938887406
536,0.0003120937422,0.0002841281112,0.0003942371245,0.0003373065204,0.0004126868486,0.0003953403265
537,0.0002890933899,0.000265249716,0.0003510352364,0.000300927689,0.0003864860825,0.0003496860211
538,0.0002660930376,0.0002463713207,0.0003078333482,0.0002645488575,0.0003602853165,0.0003040317157
539,0.0002664897341,0.0002183560218,0.0002870984668,0.0002461575269,0.0003437331214,0.0002915941037
540,0.0002668864306,0.0001903407228,0.0002663635854,0.0002277661962,0.0003271809263,0.0002791564917
541,0.0002672134408,0.0001906004609,0.0002570799225,0.0002191802697,0.0002727590141,0.0002467752645
542,0.0002675404511,0.0001908601989,0.0002477962596,0.0002105943433,0.0002183371019,0.0002143940373
543,0.0002569479394,0.0001910918097,0.0002379476961,0.0002109105053,0.0002087356456,0.0002145882877
544,0.0002463554276,0.0001913234205,0.0002280991326,0.0002112266674,0.0001991341892,0.0002147825381
545,0.0002468113626,0.0002007926248,0.0002283086893,0.0002115074772,0.0001909449345,0.0002150701035
546,0.0002472672975,0.0002102618291,0.000228518246,0.0002117882871,0.0001827556798,0.0002153576689
547,0.0002588363703,0.0002106706234,0.0002190557827,0.0002119537875,0.0001829957967,0.0001922154066
548,0.0002704054432,0.0002110794176,0.0002095933194,0.0002121192879,0.0001832359135,0.0001690731443
549,0.0002937151981,0.0002206459813,0.0001998903063,0.0002125794418,0.000183488507,0.0001372218257
550,0.0003170249529,0.000230212545,0.0001901872932,0.0002130395957,0.0001837411005,0.0001053705072
551,0.000340834096,0.0002308551581,0.0001804279482,0.0002135719058,0.0001839302997,0.00009522957081
552,0.000364643239,0.0002314977712,0.0001706686031,0.0002141042159,0.0001841194988,0.00008508863441
553,0.0004107765524,0.0002521786713,0.0001710824773,0.0002147198962,0.0001845435367,0.00008531138897
554,0.0004569098657,0.0002728595714,0.0001714963516,0.0002153355766,0.0001849675745,0.00008553414354
555,0.0004822556838,0.0002735629811,0.0001719416692,0.0002433519226,0.0001943666336,0.00008578777664
556,0.0005076015019,0.0002742663907,0.0001723869869,0.0002713682686,0.0002037656927,0.00008604140973
557,0.0004730346999,0.0002962005768,0.0001832608772,0.0002909829217,0.0002498106941,0.00008624051995
558,0.0004384678979,0.000318134763,0.0001941347675,0.0003105975747,0.0002958556955,0.00008643963017
559,0.0004156991247,0.0003078258805,0.0001944971914,0.0003016956681,0.0003270983122,0.00008666102851
560,0.0003929303514,0.0002975169981,0.0001948596154,0.0002927937614,0.0003583409289,0.00008688242686
561,0.0003712727607,0.0002973018937,0.0001955455053,0.0002657736832,0.0003792458494,0.00008710292825
562,0.0003496151701,0.0002970867893,0.0001962313953,0.000238753605,0.0004001507699,0.00008732342963
563,0.0003630931711,0.0003281786526,0.0001968347011,0.0002298860982,0.0003719873154,0.00008747739747
564,0.000376571172,0.0003592705159,0.0001974380069,0.0002210185915,0.000343823861,0.0000876313653
565,0.0004606284944,0.000431557528,0.0002295850852,0.0002216599299,0.0003057462045,0.00008796086605
566,0.0005446858168,0.0005038445401,0.0002617321635,0.0002223012684,0.0002676685479,0.00008829036679
567,0.0006693390184,0.0005986346296,0.0002963763734,0.0002614411719,0.0002581092637,0.00008855107558
568,0.00079399222,0.0006934247191,0.0003310205834,0.0003005810754,0.0002485499795,0.00008881178438
569,0.001001518765,0.000822509021,0.000355836054,0.000387818995,0.0002867265871,0.0001119117312
570,0.001209045311,0.0009515933229,0.0003806515245,0.0004750569147,0.0003249031948,0.000135011678
571,0.00154302267,0.001047444742,0.0004271505604,0.0006276148743,0.0004413387511,0.0002335878831
572,0.00187700003,0.001143296161,0.0004736495963,0.0007801728339,0.0005577743074,0.0003321640882
573,0.002366611598,0.001253643697,0.0005654469877,0.001023874078,0.0006579831529,0.0003922472832
574,0.002856223166,0.001363991234,0.0006572443791,0.001267575323,0.0007581919983,0.0004523304783
575,0.00341606733,0.001431193808,0.000751309314,0.001610725115,0.0009342499486,0.000618411349
576,0.003975911495,0.001498396382,0.0008453742489,0.001953874907,0.001110307899,0.0007844922198
577,0.004618478217,0.001581290179,0.0009628966044,0.002277644858,0.001409411863,0.001097909822
578,0.005261044939,0.001664183976,0.00108041896,0.002601414809,0.001708515827,0.001411327425
579,0.006309294194,0.001853168967,0.001239319499,0.002731134662,0.002164751379,0.00174566825
580,0.007357543448,0.002042153959,0.001398220038,0.002860854515,0.002620986931,0.002080009075
581,0.009389396427,0.002284828516,0.001549903048,0.002832371571,0.003134761167,0.002342556316
582,0.0114212494,0.002527503073,0.001701586057,0.002803888627,0.003648535403,0.002605103557
583,0.01449058803,0.002992533244,0.001896557572,0.002679941807,0.004147135782,0.002704803582
584,0.01755992666,0.003457563415,0.002091529087,0.002555994988,0.004645736162,0.002804503607
